matern32,SquaredExp,RationalQuad,Matern52,Gamma,Ensemble
-130.864282084547,-188.845534133925,-103.137145838548,-155.529928656584,-106.26387618518,-41.018671815169
-217.919090284262,-126.345114987166,-91.7652857613979,-83.9800613986258,-126.713015882917,-170.162768970769
-174.99235286436,-151.773671086579,-96.3982517863714,-171.504176487345,-202.263085189508,-169.63759979292
-105.299688243292,-36.5679400456275,-88.2682265330135,-108.472940679483,-60.6776415114156,-130.320454752734
-79.0255721629986,-139.204462931475,-65.4641286132004,-169.912942933447,-131.899748780228,-46.5533546403822
-66.4117510247832,-61.1405336222191,-99.4059531429361,-18.0430174550874,-195.570985161564,-183.472473672506
-136.031399243216,-144.289224545458,-102.045094852692,-204.64075370611,-160.819413940325,-131.854162318642
-39.6457575987761,-52.9153980689104,-121.220117748819,-105.46215695579,-12.1077494213805,-38.1864903366924
-136.063577048099,-203.62859647291,-90.8687447424877,-122.580476990032,-68.8593721163188,-114.001307933728
-85.4858988170202,-185.307584485369,-60.029071659029,-134.450646793842,-182.977197272421,-125.015308485757
-155.583226272077,-29.8965063463192,-131.668898154644,-114.242797704399,-68.3598339232819,-76.7459122908223
-162.91019693062,-114.233782607485,-102.905308462114,-183.954055464018,-68.9339630298136,-81.3781861507642
-142.026308899762,-43.3600189170445,-68.3327751761138,-97.7516510285269,-121.767266018709,-13.6847167326652
-137.416791479206,-128.324866107804,-113.916168697936,-183.566774944651,-121.681387611775,-215.861165266107
-74.3501228256743,-96.8077816917716,-58.4350054638261,-112.221367751427,-25.0970343623195,-89.8054736934843
